"","YEAR","FAC_NO","FACILITY_NAME","DBA_ADDRESS1","DBA_CITY","DBA_ZIP_CODE","COUNTY_NAME","LICENSED_BED_SIZE","TYPE_CONTROL_DESC","TEACH_RURAL","TOC_Acute","TOC_SN_IC","TOC_Psych","TOC_Chem_Dep","TOC_Rehab","TOC_Unknown","Sex_Male","Sex_Female","Sex_Other_Unknown","Age_0_09","Age_10_19","Age_20_29","Age_30_39","Age_40_49","Age_50_59","Age_60_69","Age_70_79","Age_80_","Age_Unknown","RaceGrp_White","RaceGrp_Black","RaceGrp_Hispanic","RaceGrp_Asian","RaceGrp_Native_Am","RaceGrp_Other","RaceGrp_Unknown","Admt_Home","Admt_Resid_Care","Admt_Ambul_Surgery","Admt_SN_IC","Admt_Acute_Inpt_Hosp_Care","Admt_Other_Inpt_Hosp_Care","Admt_Newborn","Admt_Prison_Jail","Admt_Other","Admt_Unknown","Route_Your_ER","Route_Not_Your_ER","Route_Unknown","Adm_Scheduled","Adm_Unscheduled","Adm_Newborn","Adm_Unknown","Disp_Routine","Disp_Resid_Care","Disp_Prison_Jail","Disp_Against_Medical_Advice","Disp_Died","Disp_Home_Health","Disp_Unknown","DNR_Yes","DNR_No","DNR_Unknown","Payer_Medicare","Payer_Medi_Cal","Payer_Priv_Coverage","Payer_Workers_Comp","Payer_County_Indigent_Prog","Payer_Other_Government","Payer_Other_Indigent","Payer_Self_Pay","Payer_Other_Payer","Payer_Unknown","Dx_Infections","Dx_Neoplasms","dx_Endocrine","Dx_Blood_Disorders","Dx_Psychoses_Neuroses","Dx_Nervous_System","Dx_Circulatory","Dx_Respiratory","Dx_Digestive","Dx_Genitourinary","Dx_All_Pregnancies","Dx_Skin_disorders","Dx_Musculoskeletal","Dx_Congenital_anomalies","Dx_Perinatal_disorders","Dx_Symptoms","Dx_Injuries_Drugs_Complications","Dx_Other_Reasons","Dx_Births","Pr_Nervous_System","Pr_Endocrine_System","Pr_Eye","Pr_Ear","Pr_Nose_Mouth_Pharynx","Pr_Respiratory","Pr_Cardiovascular","Pr_Blood_Lymph_Organs","Pr_Digestive","Pr_Urinary","Pr_OB_Procedures","Pr_Musculoskeletal","Pr_Skin","Pr_Diagnostic_Therapeutic","Pr_Other_Interventions","Pr_None","EC_Accidental_Poisoning","EC_Misadventures_Complication","EC_Accidental_Falls","EC_Fire_Accidents","EC_Natural_Environment","EC_Submersion_Suffocation_Foreig","EC_Other_Accidents","EC_Adverse_Effects_of_Drugs","EC_Self_Inflicted","EC_Inflicted_by_Others","EC_Undetermined","EC_War","EC_Late_Effects_of_Injury","EC_None","Dsch_Days","Disp_SN_IC_Care","EC_Rail_Motor_Vehicle","Pr_Reproductive_System","Disp_Acute_Care","MSSA_DESIGNATION","Disp_Rehab","Disp_Disaster_Care_Site","Disp_Childrens_or_cancer","Disp_Hospice_Care","Disp_Psychiatric_Care","Disp_CAH","Disp_Other_Care","Disp_Invalid_Blank","Dx_Birth_Defects","Dx_Cancer","Dx_Ear","Dx_Eye","PR_General","PR_Imaging","PR_Radiation_Oncology","PR_Nuclear_Medicine","PR_New_Technologies","EC_Abnormal_Reaction_Later_Cx","EC_Med_Device_Adverse_Incident","EC_Supplementary_Factors","EC_W_Inanimate_Animate_Object","EC_NonTrans_Drowning_Subm","Route_No_ER","Adm_Emergency","Adm_Urgent","Adm_NA","Adm_Trauma","Admt_Clinic_Dr","Admt_DistinctPartXfer","Admt_Hosp_Dif","Admt_HospiceFacility","Zip_CA_Resident","Zip_Foreign","Zip_Homeless","Zip_Out_of_State","Zip_Unknown","Zip_Blank_Invalid","eth_Hispanic","eth_NonHispanic","eth_Unknown","eth_Blank_Invalid","Racegrp_aman","Racegrp_multirace","Racegrp_nhpi","dx_Symptoms_Signs_NEC","Dx_Residual","Admt_Disaster_Care_Site"
"11",2012,"191306","LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER","7601 EAST IMPERIAL HIGHWAY","DOWNEY","90242","LOS ANGELES","200-299","City/County","NA",2347,0,0,0,1513,0,2445,1415,0,17,57,332,404,807,1165,782,201,95,0,498,611,2336,323,7,72,13,865,0,1,16,1911,250,0,2,814,1,1,3858,1,2286,1574,0,0,2688,98,3,49,6,171,0,18,3837,5,482,2132,129,16,897,91,0,113,0,0,25,75,491,12,35,305,452,94,41,104,0,233,272,5,0,80,92,1544,0,61,23,0,0,8,14,63,0,61,24,0,548,160,2616,9,218,2,188,20,0,1,2,6,77,0,0,1,0,381,3180,61811,184,2,55,376,NA,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2012,"244027","MARIE GREEN PSYCHIATRIC CENTER - P H F","300 EAST 15TH STREET","MERCED","95340","MERCED","1-49","City/County","NA",0,0,560,0,0,0,296,264,0,0,39,131,158,125,90,15,2,0,0,291,56,176,27,4,2,4,514,28,0,0,1,4,0,10,3,0,0,560,0,15,545,0,0,492,36,6,0,0,0,0,0,560,0,103,280,11,0,1,27,0,138,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,560,2338,0,0,0,17,NA,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2012,"274043","NATIVIDAD MEDICAL CENTER","1441 CONSTITUTION BOULEVARD","SALINAS","93906","MONTEREY","150-199","City/County","NA",9649,0,718,0,392,0,4081,6675,3,3307,573,2106,1484,839,962,715,459,314,0,1618,313,8397,311,23,78,19,6636,64,307,7,457,191,2727,370,0,0,3888,6871,0,533,7479,2747,0,8922,155,388,88,54,514,0,106,10653,0,1336,6985,926,22,272,685,148,376,3,6,169,80,354,50,856,76,497,453,700,239,2974,150,124,7,141,457,297,406,2728,63,5,4,0,19,47,188,13,704,26,2563,200,101,1682,2,4863,34,86,123,2,11,17,53,105,130,23,23,0,28,10108,39235,232,16,279,139,NA,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2012,"334487","RIVERSIDE COUNTY REGIONAL MEDICAL CENTER","26520 CACTUS AVENUE","MORENO VALLEY","92555","RIVERSIDE","300-499","City/County","Teaching",19818,0,4428,0,0,1,11610,12637,0,3594,1753,4209,3223,3609,4147,2131,875,706,0,7306,3751,12351,467,36,260,76,19557,80,147,105,259,61,2442,1022,574,0,11823,12424,0,1380,20373,2493,1,19750,678,1015,369,259,713,0,342,23905,0,2049,6424,6049,44,3015,2421,0,4245,0,0,877,757,839,347,4820,545,1899,1110,2023,784,2822,449,663,33,173,1411,1876,366,2453,355,53,69,13,63,287,730,125,1661,234,2350,1271,498,10992,21,5111,53,653,415,3,32,49,152,509,127,194,14,0,35,21598,123654,717,413,414,486,NA,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2012,"344011","SACRAMENTO COUNTY MENTAL HEALTH TREATMENT CENTER","2150 STOCKTON BOULEVARD","SACRAMENTO","95817","SACRAMENTO","50-99","City/County","NA",0,0,1363,0,0,0,788,575,0,0,48,439,357,267,196,52,1,3,0,706,322,155,108,10,62,0,4,0,0,0,3,9,0,69,1278,0,0,1363,0,0,1362,0,1,1166,61,50,26,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,15457,1,0,0,42,NA,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2012,"361458","COLORADO RIVER MEDICAL CENTER","1401 BAILEY AVENUE","NEEDLES","92363","SAN BERNARDINO","1-49","City/County","Small/Rural",268,0,0,0,0,0,124,144,0,2,5,14,5,32,49,72,47,42,0,207,5,20,1,35,0,0,264,0,4,0,0,0,0,0,0,0,253,15,0,2,266,0,0,223,3,0,2,8,8,0,34,234,0,154,72,20,0,1,8,5,8,0,0,2,6,30,7,0,4,23,63,50,29,1,22,1,0,0,17,13,0,0,0,0,0,0,0,0,1,0,14,1,0,0,8,30,0,214,3,5,12,0,5,0,0,5,0,0,0,0,4,233,953,8,1,0,14,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2012,"364231","ARROWHEAD REGIONAL MEDICAL CENTER","400 N. PEPPER AVENUE","COLTON","92324","SAN BERNARDINO","300-499","City/County","Teaching",23395,0,3206,0,0,0,12956,13644,1,3670,1111,4775,3525,4092,4913,2598,1082,835,0,7660,3912,13771,565,30,441,222,22258,62,201,103,200,35,2711,977,22,32,20362,6239,0,1759,22116,2726,0,23152,234,602,488,369,261,0,175,26426,0,2842,12561,1907,85,3873,537,0,4795,1,0,944,890,931,318,4551,378,2135,1145,2067,997,3323,497,447,25,124,2099,2826,186,2718,404,42,42,4,56,346,1046,81,2058,432,2656,1153,787,4565,19,12355,58,598,667,125,44,42,542,542,297,397,34,0,111,22285,126775,684,859,555,292,NA,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2012,"374055","SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL","3851 ROSECRANS STREET","SAN DIEGO","92110","SAN DIEGO","100-149","City/County","NA",0,49,2732,0,0,0,1847,934,0,0,80,814,684,614,495,83,8,3,0,1501,407,604,111,21,99,38,2397,11,0,6,67,244,0,27,29,0,0,2781,0,164,2616,0,1,1836,377,11,358,16,0,0,15,2766,0,118,373,12,0,2277,0,0,0,0,1,6,1,2,0,2721,9,10,0,2,1,0,2,2,0,0,4,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2781,0,0,0,0,0,0,1,0,0,0,0,0,0,2780,79105,9,0,0,45,NA,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2012,"380865","LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER","375 LAGUNA HONDA BOULEVARD","SAN FRANCISCO","94116","SAN FRANCISCO","500+","City/County","NA",148,953,0,0,38,0,720,419,0,0,0,25,44,153,248,298,164,207,0,416,276,173,248,12,7,7,56,12,0,166,887,14,0,0,4,0,0,1139,0,906,230,0,3,156,19,1,6,215,0,2,497,642,0,575,516,39,0,6,0,0,3,0,0,128,101,21,1,90,181,217,100,34,60,0,4,9,0,0,18,0,175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1120,0,2,190,0,0,3,1,15,0,0,0,0,128,800,290123,142,0,0,598,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2012,"380939","SAN FRANCISCO GENERAL HOSPITAL","1001 POTRERO AVENUE","SAN FRANCISCO","94110","SAN FRANCISCO","500+","City/County","Teaching",14599,464,2018,0,0,0,9661,7420,0,1606,399,2229,2507,2701,3436,2456,914,827,6,4916,3797,4384,3143,165,412,264,13996,129,61,453,737,141,1177,381,6,0,10930,6151,0,2334,13561,1183,3,12986,411,371,432,345,425,0,358,16723,0,3443,9932,798,80,1018,630,2,841,337,0,821,677,521,144,2476,286,1776,1016,1361,509,1405,555,508,17,57,633,2549,588,1182,412,66,57,1,125,284,967,61,1154,181,1214,1290,571,3149,15,7121,157,562,1006,8,31,23,194,281,145,455,29,0,116,13391,151960,1214,683,413,559,NA,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2012,"391010","SAN JOAQUIN GENERAL HOSPITAL","500 WEST HOSPITAL ROAD","FRENCH CAMP","95231","SAN JOAQUIN","150-199","City/County","NA",10301,0,0,0,0,0,4969,5332,0,2581,401,1710,1353,1120,1446,1068,376,246,0,2411,1272,5029,1021,15,374,179,6736,20,25,129,213,0,2122,1051,5,0,3942,6359,0,638,7479,2184,0,8217,0,980,120,189,94,0,150,10151,0,1040,5839,265,21,333,1233,0,1570,0,0,965,226,275,107,43,131,785,494,955,284,2264,212,184,11,153,226,814,44,2128,130,20,2,2,54,177,686,30,1012,69,2059,479,215,1137,8,3977,36,374,187,1,21,33,80,301,57,120,40,0,53,8832,41199,461,166,244,197,NA,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2012,"394003","SAN JOAQUIN COUNTY P.H.F.","1212 NORTH CALIFORNIA","STOCKTON","95202","SAN JOAQUIN","1-49","City/County","NA",0,0,634,0,0,0,347,287,0,0,48,192,167,108,84,32,3,0,0,219,117,208,86,4,0,0,602,18,0,0,0,0,0,14,0,0,0,634,0,0,634,0,0,469,112,22,0,0,0,0,0,634,0,0,333,16,0,188,1,0,52,44,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,634,4897,5,0,0,14,NA,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2012,"404046","SAN LUIS OBISPO CO PSYCHIATRIC HEALTH FACILITY","2178 JOHNSON AVE","SAN LUIS OBISPO","93401","SAN LUIS OBISPO","1-49","City/County","NA",0,0,1269,0,0,0,645,623,1,4,208,299,201,204,252,74,21,6,0,998,31,178,20,8,13,21,1247,2,0,0,0,2,0,18,0,0,0,1269,0,1,1268,0,0,953,12,78,0,0,0,0,0,1269,0,270,282,159,0,0,16,0,275,267,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,3717,0,0,0,93,NA,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
